District,Bench,Type,Month,FileName,RowCount
Agra,Agra Cantt,Addition,APRIL-2025,S24A087Addition.pdf,229
Agra,Agra Cantt,Addition,MARCH-2025,S24A087Addition.pdf,1456
Agra,Agra Cantt,Addition,MAY-2025,S24A087Addition.pdf,32
Agra,Agra Cantt,Modification,APRIL-2025,S24A087Modification.pdf,152
Agra,Agra Cantt,Modification,MARCH-2025,S24A087Modification.pdf,734
Agra,Agra Cantt,Modification,MAY-2025,S24A087Modification.pdf,23
Agra,Agra Cantt,Deletion,APRIL-2025,S24A087Deletion.pdf,213
Agra,Agra Cantt,Deletion,MARCH-2025,S24A087Deletion.pdf,51
Agra,Agra Cantt,Deletion,MAY-2025,S24A087Deletion.pdf,31
Agra,Agra North,Addition,APRIL-2025,S24A089Addition.pdf,1421
Agra,Agra North,Addition,MARCH-2025,S24A089Addition.pdf,53
Agra,Agra North,Addition,MAY-2025,S24A089Addition.pdf,47
Agra,Agra North,Modification,APRIL-2025,S24A089Modification.pdf,351
Agra,Agra North,Modification,MARCH-2025,S24A089Modification.pdf,0
Agra,Agra North,Modification,MAY-2025,S24A089Modification.pdf,57
Agra,Agra North,Deletion,APRIL-2025,S24A089Deletion.pdf,242
Agra,Agra North,Deletion,MARCH-2025,S24A089Deletion.pdf,93
Agra,Agra North,Deletion,MAY-2025,S24A089Deletion.pdf,28
Agra,Agra Rural,Addition,APRIL-2025,S24A090Addition.pdf,803
Agra,Agra Rural,Addition,MARCH-2025,S24A090Addition.pdf,306
Agra,Agra Rural,Addition,MAY-2025,S24A090Addition.pdf,374
Agra,Agra Rural,Modification,APRIL-2025,S24A090Modification.pdf,270
Agra,Agra Rural,Modification,MARCH-2025,S24A090Modification.pdf,162
Agra,Agra Rural,Modification,MAY-2025,S24A090Modification.pdf,144
Agra,Agra Rural,Deletion,APRIL-2025,S24A090Deletion.pdf,194
Agra,Agra Rural,Deletion,MARCH-2025,S24A090Deletion.pdf,203
Agra,Agra Rural,Deletion,MAY-2025,S24A090Deletion.pdf,18
